Year	Mo	Da	Ho	Lat	Lon	H	Mw	MwUnc	McModel2
1507	0	0	0	44.885	7.327	0	4.16	0.46	0
1508	1	0	0	46	14.5	0	5.10	0.46	0
1508	4	25	0	40.822	14.123	0	3.88	0.50	0
1508	7	19	8	40.849	14.25	0	3.12	0.50	0
1508	10	18	0	44.835	11.62	0	3.70	0.46	0
1508	10	26	0	44.835	11.62	0	4.16	0.46	0
1509	2	25	22	38.099	15.684	0	5.56	0.46	0
1509	4	19	0	44.323	11.864	0	5.02	0.60	0
1509	12	24	21	42.896	11.769	0	4.63	0.46	0
1511	3	26	15	46.209	13.216	0	6.32	0.10	1
1511	4	0	0	43.44	13.61	0	4.63	0.46	0
1512	2	8	0	46.322	9.402	0	4.63	0.46	0
1513	2	10	0	44.913	8.615	0	4.16	0.46	0
1513	8	25	0	38.185	15.555	0	4.16	0.46	0
1516	12	19	23	46.279	13.135	0	4.16	0.46	0
1517	3	29	19	41.011	15.21	0	5.33	0.46	0
1517	12	31	3	37.502	15.087	0	4.16	0.46	0
1518	5	20	21	37.502	15.087	0	4.16	0.46	0
1519	0	0	0	42.386	12.949	0	4.63	0.46	0
1520	1	9	17	43.541	12.054	0	4.86	0.46	0
1520	1	28	23	40.835	14.186	0	3.50	0.50	0
1522	7	5	24	46.063	13.234	0	3.70	0.46	0
1522	10	5	0	44.982	10.05	0	4.71	0.40	0
1523	6	7	0	46.171	13.184	0	3.70	0.46	0
1524	4	0	0	46.27	7.27	0	5.80	1.00	0
1524	12	29	7	37.502	15.087	0	4.16	0.46	0
1525	2	19	21	46.087	13.066	0	4.57	0.46	0
1527	10	4	0	43.933	10.915	0	5.33	0.46	0
1529	1	1	0	42.736	12.737	0	4.86	0.46	0
1529	4	14	0	45.751	12.785	0	4.16	0.46	0
1530	11	11	16	43.207	11.559	0	4.40	0.46	0
1536	3	23	0	37.502	15.087	0	4.86	0.46	0
1536	8	7	0	40.849	14.25	0	3.12	0.50	0
1536	8	10	23	44.419	8.898	0	4.63	0.46	0
1536	8	17	0	44.365	10.934	0	5.12	0.45	0
1537	2	14	0	40.822	14.123	0	3.50	0.50	0
1537	5	0	0	37.502	15.087	0	4.40	0.46	0
1537	11	0	0	44.307	8.48	0	4.63	0.46	0
1538	4	20	0	40.849	14.25	0	3.25	0.50	0
1538	9	20	0	40.833	14.192	0	3.25	0.50	0
1538	9	22	0	40.833	14.192	0	3.25	0.50	0
1538	9	23	0	40.833	14.192	0	3.25	0.50	0
1538	9	24	0	40.833	14.192	0	3.25	0.50	0
1538	9	25	0	40.833	14.192	0	3.25	0.50	0
1538	9	26	0	40.833	14.192	0	3.25	0.50	0
1538	9	27	0	40.833	14.192	0	3.25	0.50	0
1538	9	28	6	40.835	14.186	0	3.25	0.50	0
1538	9	28	17	40.835	14.186	0	3.25	0.50	0
1538	9	29	11	40.835	14.186	0	3.25	0.50	0
1538	9	29	18	40.822	14.123	0	3.88	0.50	0
1540	4	8	0	43.162	13.718	0	4.86	0.46	0
1540	9	1	8	45.539	10.22	0	4.16	0.46	0
1541	10	22	18	44.761	8.909	0	5.26	0.48	0
1542	6	13	2	44.006	11.385	0	6.02	0.20	1
1542	11	30	18	37.367	14.803	0	4.16	0.46	0
1542	12	10	15	37.215	14.944	0	6.68	0.24	1
1545	6	9	15	44.473	9.825	0	5.38	0.42	0
1545	11	27	2	43.067	11.643	0	5.33	0.46	0
1545	11	28	0	43.076	11.679	0	4.16	0.46	0
1545	11	29	0	43.076	11.679	0	4.16	0.46	0
1547	2	10	13	44.698	10.631	0	5.10	0.46	1
1547	3	24	0	44.698	10.631	0	4.40	0.46	0
1547	7	31	0	44.307	8.48	0	4.40	0.46	0
1549	4	0	0	38.185	15.555	0	4.16	0.46	0
1549	5	8	0	43.551	10.309	0	4.86	0.46	0
1549	5	13	8	44.517	7.752	0	4.37	0.58	0
1549	9	10	2	46.139	12.218	0	4.86	0.46	0
1550	2	28	16	44.389	7.547	0	4.86	0.46	0
1551	9	26	16	43.773	11.257	0	4.40	0.46	0
1554	11	27	18	43.773	11.257	0	4.86	0.46	0
