rup_id	involved_faults
887	1 7 8 58 59 
888	1 7 11 12 13 
889	1 7 11 12 29 
890	1 7 11 12 57 
891	1 7 11 12 58 
892	1 7 11 28 29 
893	1 7 11 29 57 
894	1 7 11 29 58 
895	1 7 11 57 58 
896	1 7 11 58 59 
897	1 7 27 28 29 
898	1 7 28 29 57 
899	1 7 28 29 58 
900	1 7 29 57 58 
901	1 7 29 58 59 
902	1 7 42 58 59 
903	1 7 57 58 59 
904	1 11 12 13 29 
905	1 11 12 28 29 
906	1 11 27 28 29 
907	1 27 28 29 55 
908	2 3 5 6 7 
909	2 4 5 6 7 
910	2 5 6 7 8 
911	2 5 6 7 11 
912	2 5 6 7 12 
913	2 5 6 7 57 
914	2 5 6 7 58 
915	2 6 7 8 9 
916	2 6 7 8 11 
917	2 6 7 8 12 
918	2 6 7 8 57 
919	2 6 7 8 58 
920	2 6 7 11 12 
921	2 6 7 11 57 
922	2 6 7 11 58 
923	2 6 7 12 13 
924	2 6 7 12 57 
925	2 6 7 12 58 
926	2 6 7 57 58 
927	2 6 7 58 59 
928	2 7 8 9 11 
929	2 7 8 9 12 
930	2 7 8 9 43 
931	2 7 8 9 44 
932	2 7 8 9 57 
933	2 7 8 9 58 
934	2 7 8 11 12 
935	2 7 8 11 57 
936	2 7 8 11 58 
937	2 7 8 12 13 
938	2 7 8 12 57 
939	2 7 8 12 58 
940	2 7 8 57 58 
941	2 7 8 58 59 
942	2 7 11 12 13 
943	2 7 11 12 57 
944	2 7 11 12 58 
945	2 7 11 57 58 
946	2 7 11 58 59 
947	2 7 12 13 57 
948	2 7 12 13 58 
949	2 7 12 57 58 
950	2 7 12 58 59 
951	2 7 42 58 59 
952	2 7 57 58 59 
953	3 4 5 6 7 
954	3 4 5 6 57 
955	3 4 5 6 58 
956	3 5 6 7 8 
957	3 5 6 7 57 
958	3 5 6 7 58 
959	3 5 6 57 58 
960	3 5 6 58 59 
961	4 5 6 7 8 
962	4 5 6 7 57 
963	4 5 6 7 58 
964	4 5 6 57 58 
965	4 5 6 58 59 
966	5 6 7 8 9 
967	5 6 7 8 57 
968	5 6 7 8 58 
969	5 6 7 57 58 
970	5 6 7 58 59 
971	5 6 42 58 59 
972	5 6 57 58 59 
973	6 7 8 9 43 
974	6 7 8 9 44 
975	6 7 8 9 57 
976	6 7 8 9 58 
977	6 7 8 57 58 
978	6 7 8 58 59 
979	6 7 42 58 59 
980	6 7 57 58 59 
981	6 42 43 58 59 
982	6 42 57 58 59 
983	7 8 9 42 43 
984	7 8 9 43 44 
985	7 8 9 43 57 
986	7 8 9 43 58 
987	7 8 9 44 57 
988	7 8 9 44 58 
989	7 8 9 57 58 
990	7 8 9 58 59 
991	7 8 42 58 59 
992	7 8 57 58 59 
993	7 42 43 58 59 
994	7 42 57 58 59 
995	8 9 42 43 44 
996	8 9 42 43 59 
997	9 42 43 44 59 
998	9 42 43 58 59 
999	10 17 18 23 24 
1000	10 17 23 24 25 
1001	10 17 23 24 38 
1002	10 17 23 24 56 
1003	10 17 23 24 80 
1004	10 17 23 38 80 
1005	10 18 23 24 25 
1006	10 19 23 24 25 
1007	10 23 24 25 26 
1008	10 23 24 25 38 
1009	10 23 24 25 56 
1010	10 23 24 25 80 
1011	10 23 24 38 50 
1012	10 23 24 38 51 
1013	10 23 24 38 56 
1014	10 23 24 38 80 
1015	10 23 24 51 80 
1016	10 23 24 56 80 
1017	10 23 25 38 80 
1018	10 23 38 49 50 
1019	10 23 38 50 51 
1020	10 23 38 50 56 
1021	10 23 38 50 80 
1022	10 23 38 50 83 
1023	10 23 38 51 56 
1024	10 23 38 51 80 
1025	10 23 38 56 80 
1026	14 15 16 33 34 
1027	15 16 33 34 35 
1028	15 16 33 34 70 
1029	16 33 34 35 36 
1030	16 33 34 35 70 
1031	16 33 34 69 70 
1032	17 18 19 23 24 
1033	17 18 19 24 25 
1034	17 18 19 24 26 
1035	17 18 19 24 38 
1036	17 18 19 24 63 
1037	17 18 19 24 80 
1038	17 18 19 25 26 
1039	17 18 19 25 63 
1040	17 18 19 25 80 
1041	17 18 19 26 63 
1042	17 18 19 26 80 
1043	17 18 19 38 80 
1044	17 18 19 51 80 
1045	17 18 19 63 80 
1046	17 18 19 63 84 
1047	17 18 23 24 25 
1048	17 18 23 24 26 
1049	17 18 23 24 38 
1050	17 18 23 24 80 
1051	17 18 23 38 80 
1052	17 18 24 25 26 
1053	17 18 24 25 38 
1054	17 18 24 25 80 
1055	17 18 24 26 38 
1056	17 18 24 26 63 
1057	17 18 24 26 80 
1058	17 18 24 38 50 
1059	17 18 24 38 51 
1060	17 18 24 38 80 
1061	17 18 24 51 80 
1062	17 18 25 26 63 
1063	17 18 25 26 80 
1064	17 18 25 38 80 
1065	17 18 25 51 80 
1066	17 18 26 38 80 
1067	17 18 26 51 80 
1068	17 18 26 63 80 
1069	17 18 26 63 84 
1070	17 18 38 50 80 
1071	17 18 38 51 80 
1072	17 18 50 51 80 
1073	17 19 23 24 25 
1074	17 19 24 25 26 
1075	17 19 24 25 38 
1076	17 19 24 25 63 
1077	17 19 24 25 80 
1078	17 19 25 26 63 
1079	17 19 25 26 80 
1080	17 19 25 38 80 
1081	17 19 25 51 80 
1082	17 19 25 63 80 
1083	17 19 25 63 84 
1084	17 23 24 25 26 
1085	17 23 24 25 38 
1086	17 23 24 25 80 
1087	17 23 24 38 50 
1088	17 23 24 38 51 
1089	17 23 24 38 80 
1090	17 23 24 51 80 
1091	17 23 25 38 80 
1092	17 23 38 50 80 
1093	17 23 38 51 80 
1094	17 24 25 26 38 
1095	17 24 25 26 63 
1096	17 24 25 26 80 
1097	17 24 25 38 50 
1098	17 24 25 38 51 
1099	17 24 25 38 80 
1100	17 24 25 51 80 
1101	17 24 38 49 50 
1102	17 24 38 50 51 
1103	17 24 38 50 80 
1104	17 24 38 50 83 
1105	17 24 38 51 80 
1106	17 24 50 51 80 
1107	17 25 26 38 80 
1108	17 25 26 51 80 
1109	17 25 26 63 80 
1110	17 25 26 63 84 
1111	17 25 38 50 80 
1112	17 25 38 51 80 
1113	17 25 50 51 80 
1114	17 38 49 50 80 
1115	17 38 50 51 80 
1116	17 38 50 80 83 
1117	17 49 50 51 80 
1118	17 50 51 80 83 
1119	18 19 23 24 25 
1120	18 19 24 25 26 
1121	18 19 24 25 38 
1122	18 19 24 25 63 
1123	18 19 24 25 80 
1124	18 19 25 26 63 
1125	18 19 25 26 80 
1126	18 19 25 38 80 
1127	18 19 25 51 80 
1128	18 19 25 63 80 
1129	18 19 25 63 84 
1130	18 19 26 63 84 
1131	18 23 24 25 26 
1132	18 23 24 25 38 
1133	18 23 24 25 80 
1134	18 23 25 38 80 
1135	18 24 25 26 38 
1136	18 24 25 26 63 
1137	18 24 25 26 80 
1138	18 24 25 38 50 
1139	18 24 25 38 51 
1140	18 24 25 38 80 
1141	18 24 25 51 80 
1142	18 25 26 38 80 
1143	18 25 26 51 80 
1144	18 25 26 63 80 
1145	18 25 26 63 84 
1146	18 25 38 50 80 
1147	18 25 38 51 80 
1148	18 25 50 51 80 
1149	19 23 24 25 26 
1150	19 23 24 25 38 
1151	19 23 24 25 63 
1152	19 23 24 25 80 
1153	19 23 25 38 80 
1154	19 24 25 26 38 
1155	19 24 25 26 63 
1156	19 24 25 26 80 
1157	19 24 25 38 50 
1158	19 24 25 38 51 
1159	19 24 25 38 63 
1160	19 24 25 38 80 
1161	19 24 25 51 80 
1162	19 24 25 63 80 
1163	19 24 25 63 84 
1164	19 25 26 38 80 
1165	19 25 26 51 80 
1166	19 25 26 63 80 
1167	19 25 26 63 84 
1168	19 25 38 50 80 
1169	19 25 38 51 80 
1170	19 25 38 63 80 
1171	19 25 50 51 80 
1172	19 25 51 63 80 
1173	19 25 63 80 84 
1174	20 21 22 41 48 
1175	20 21 22 48 66 
1176	20 21 22 65 66 
1177	20 21 40 41 48 
1178	20 21 41 48 66 
1179	20 21 48 65 66 
1180	20 21 64 65 66 
1181	21 22 40 41 48 
1182	21 39 40 41 48 
1183	21 40 41 48 76 
1184	23 24 25 26 38 
1185	23 24 25 26 63 
1186	23 24 25 26 80 
1187	23 24 25 38 50 
1188	23 24 25 38 51 
1189	23 24 25 38 80 
1190	23 24 25 51 80 
1191	23 24 38 49 50 
1192	23 24 38 50 51 
1193	23 24 38 50 80 
1194	23 24 38 50 83 
1195	23 24 38 51 80 
1196	23 24 50 51 80 
1197	23 25 26 38 80 
1198	23 25 38 50 80 
1199	23 25 38 51 80 
1200	23 38 49 50 51 
1201	23 38 49 50 73 
1202	23 38 49 50 80 
1203	23 38 49 50 83 
1204	23 38 50 51 80 
1205	23 38 50 51 83 
1206	23 38 50 80 83 
1207	23 38 50 82 83 
1208	24 25 26 38 50 
1209	24 25 26 38 51 
1210	24 25 26 38 63 
1211	24 25 26 38 80 
1212	24 25 26 51 80 
1213	24 25 26 63 80 
1214	24 25 26 63 84 
1215	24 25 38 49 50 
1216	24 25 38 50 51 
1217	24 25 38 50 80 
1218	24 25 38 50 83 
1219	24 25 38 51 80 
1220	24 25 50 51 80 
1221	24 38 49 50 51 
1222	24 38 49 50 73 
1223	24 38 49 50 80 
1224	24 38 49 50 83 
1225	24 38 50 51 80 
1226	24 38 50 51 83 
1227	24 38 50 80 83 
1228	24 38 50 82 83 
1229	24 49 50 51 80 
1230	24 50 51 80 83 
1231	25 26 38 50 80 
1232	25 26 38 51 80 
1233	25 26 38 63 80 
1234	25 26 50 51 80 
1235	25 26 51 63 80 
1236	25 26 63 80 84 
1237	25 38 49 50 80 
1238	25 38 50 51 80 
1239	25 38 50 80 83 
1240	25 49 50 51 80 
1241	25 50 51 80 83 
1242	27 28 29 54 55 
1243	27 28 53 54 55 
1244	27 52 53 54 55 
1245	33 34 35 36 37 
1246	33 34 35 36 70 
1247	33 34 35 69 70 
1248	33 34 68 69 70 
1249	34 35 36 37 70 
1250	34 35 36 69 70 
1251	34 35 68 69 70 
1252	34 67 68 69 70 
