rup_id	involved_faults
697	1 2 7 29 58 
698	1 2 7 57 58 
699	1 2 7 58 59 
700	1 2 11 12 13 
701	1 2 11 12 29 
702	1 2 11 28 29 
703	1 2 12 13 29 
704	1 2 12 28 29 
705	1 2 27 28 29 
706	1 3 4 5 6 
707	1 4 5 6 7 
708	1 4 5 6 29 
709	1 4 5 6 57 
710	1 4 5 6 58 
711	1 5 6 7 8 
712	1 5 6 7 29 
713	1 5 6 7 57 
714	1 5 6 7 58 
715	1 5 6 28 29 
716	1 5 6 29 57 
717	1 5 6 29 58 
718	1 5 6 57 58 
719	1 5 6 58 59 
720	1 6 7 8 9 
721	1 6 7 8 29 
722	1 6 7 8 57 
723	1 6 7 8 58 
724	1 6 7 28 29 
725	1 6 7 29 57 
726	1 6 7 29 58 
727	1 6 7 57 58 
728	1 6 7 58 59 
729	1 6 27 28 29 
730	1 6 28 29 57 
731	1 6 28 29 58 
732	1 6 29 57 58 
733	1 6 29 58 59 
734	1 6 42 58 59 
735	1 6 57 58 59 
736	1 7 8 9 29 
737	1 7 8 9 57 
738	1 7 8 9 58 
739	1 7 8 28 29 
740	1 7 8 29 57 
741	1 7 8 29 58 
742	1 7 8 57 58 
743	1 7 8 58 59 
744	1 7 27 28 29 
745	1 7 28 29 57 
746	1 7 28 29 58 
747	1 7 29 57 58 
748	1 7 29 58 59 
749	1 7 42 58 59 
750	1 7 57 58 59 
751	1 27 28 29 55 
752	2 4 5 6 7 
753	2 5 6 7 8 
754	2 5 6 7 11 
755	2 5 6 7 12 
756	2 5 6 7 57 
757	2 5 6 7 58 
758	2 6 7 8 9 
759	2 6 7 8 11 
760	2 6 7 8 12 
761	2 6 7 8 57 
762	2 6 7 8 58 
763	2 6 7 11 12 
764	2 6 7 11 57 
765	2 6 7 11 58 
766	2 6 7 12 13 
767	2 6 7 12 57 
768	2 6 7 12 58 
769	2 6 7 57 58 
770	2 6 7 58 59 
771	2 7 8 9 11 
772	2 7 8 9 12 
773	2 7 8 9 57 
774	2 7 8 9 58 
775	2 7 8 11 12 
776	2 7 8 11 57 
777	2 7 8 11 58 
778	2 7 8 12 13 
779	2 7 8 12 57 
780	2 7 8 12 58 
781	2 7 8 57 58 
782	2 7 8 58 59 
783	2 7 11 12 13 
784	2 7 11 12 57 
785	2 7 11 12 58 
786	2 7 11 57 58 
787	2 7 11 58 59 
788	2 7 12 13 57 
789	2 7 12 13 58 
790	2 7 12 57 58 
791	2 7 12 58 59 
792	2 7 42 58 59 
793	2 7 57 58 59 
794	3 4 5 6 7 
795	3 4 5 6 57 
796	3 4 5 6 58 
797	4 5 6 7 8 
798	4 5 6 7 57 
799	4 5 6 7 58 
800	4 5 6 57 58 
801	4 5 6 58 59 
802	5 6 7 8 9 
803	5 6 7 8 57 
804	5 6 7 8 58 
805	5 6 7 57 58 
806	5 6 7 58 59 
807	5 6 42 58 59 
808	5 6 57 58 59 
809	6 7 8 9 57 
810	6 7 8 9 58 
811	6 7 8 57 58 
812	6 7 8 58 59 
813	6 7 42 58 59 
814	6 7 57 58 59 
815	6 42 43 58 59 
816	6 42 57 58 59 
817	7 8 9 57 58 
818	7 8 9 58 59 
819	7 8 42 58 59 
820	7 8 57 58 59 
821	7 42 43 58 59 
822	7 42 57 58 59 
823	10 17 18 23 24 
824	10 17 23 24 25 
825	10 17 23 24 38 
826	10 17 23 24 56 
827	10 17 23 24 80 
828	10 17 23 38 80 
829	10 18 23 24 25 
830	10 19 23 24 25 
831	10 23 24 25 26 
832	10 23 24 25 38 
833	10 23 24 25 56 
834	10 23 24 38 51 
835	10 23 24 38 56 
836	10 23 24 38 80 
837	10 23 38 50 51 
838	10 23 38 51 56 
839	10 23 38 51 80 
840	10 23 38 56 80 
841	14 15 16 33 34 
842	15 16 33 34 35 
843	15 16 33 34 70 
844	16 33 34 35 36 
845	16 33 34 35 70 
846	16 33 34 69 70 
847	17 18 19 23 24 
848	17 18 19 24 25 
849	17 18 19 24 26 
850	17 18 19 24 38 
851	17 18 19 24 63 
852	17 18 19 24 80 
853	17 18 19 25 26 
854	17 18 19 25 63 
855	17 18 19 25 80 
856	17 18 19 26 45 
857	17 18 19 26 63 
858	17 18 19 26 80 
859	17 18 19 38 80 
860	17 18 19 51 80 
861	17 18 19 63 80 
862	17 18 19 63 84 
863	17 18 23 24 25 
864	17 18 23 24 26 
865	17 18 23 24 38 
866	17 18 23 24 80 
867	17 18 23 38 80 
868	17 18 24 25 26 
869	17 18 24 25 38 
870	17 18 24 25 80 
871	17 18 24 26 38 
872	17 18 24 26 45 
873	17 18 24 26 63 
874	17 18 24 26 80 
875	17 18 24 38 51 
876	17 18 24 38 80 
877	17 18 24 51 80 
878	17 18 25 26 45 
879	17 18 25 26 63 
880	17 18 25 26 80 
881	17 18 25 38 80 
882	17 18 25 51 80 
883	17 18 26 38 80 
884	17 18 26 45 46 
885	17 18 26 45 63 
886	17 18 26 45 80 
887	17 18 26 51 80 
888	17 18 26 63 80 
889	17 18 26 63 84 
890	17 18 38 51 80 
891	17 18 50 51 80 
892	17 19 23 24 25 
893	17 19 24 25 26 
894	17 19 24 25 38 
895	17 19 24 25 63 
896	17 19 24 25 80 
897	17 19 25 26 45 
898	17 19 25 26 63 
899	17 19 25 26 80 
900	17 19 25 38 80 
901	17 19 25 51 80 
902	17 19 25 63 80 
903	17 19 25 63 84 
904	17 23 24 25 26 
905	17 23 24 25 38 
906	17 23 24 25 80 
907	17 23 24 38 51 
908	17 23 24 38 80 
909	17 23 24 51 80 
910	17 23 25 38 80 
911	17 23 38 51 80 
912	17 24 25 26 38 
913	17 24 25 26 45 
914	17 24 25 26 63 
915	17 24 25 26 80 
916	17 24 25 38 51 
917	17 24 25 38 80 
918	17 24 25 51 80 
919	17 24 38 50 51 
920	17 24 38 51 80 
921	17 24 50 51 80 
922	17 25 26 38 80 
923	17 25 26 45 46 
924	17 25 26 45 63 
925	17 25 26 45 80 
926	17 25 26 51 80 
927	17 25 26 63 80 
928	17 25 26 63 84 
929	17 25 38 51 80 
930	17 25 50 51 80 
931	17 38 50 51 80 
932	17 49 50 51 80 
933	17 50 51 80 83 
934	18 19 23 24 25 
935	18 19 24 25 26 
936	18 19 24 25 38 
937	18 19 24 25 63 
938	18 19 25 26 45 
939	18 19 25 26 63 
940	18 19 25 63 84 
941	18 19 26 45 46 
942	18 19 26 45 63 
943	18 19 26 63 84 
944	18 23 24 25 26 
945	18 23 24 25 38 
946	18 24 25 26 38 
947	18 24 25 26 45 
948	18 24 25 26 63 
949	18 24 25 38 51 
950	18 24 25 38 80 
951	18 25 26 45 46 
952	18 25 26 45 63 
953	18 25 26 63 84 
954	18 26 45 46 47 
955	18 26 45 46 63 
956	18 26 45 63 84 
957	19 23 24 25 26 
958	19 23 24 25 38 
959	19 23 24 25 63 
960	19 24 25 26 38 
961	19 24 25 26 45 
962	19 24 25 26 63 
963	19 24 25 38 51 
964	19 24 25 38 63 
965	19 24 25 38 80 
966	19 24 25 63 84 
967	19 25 26 45 46 
968	19 25 26 45 63 
969	19 25 26 63 84 
970	19 26 45 46 47 
971	19 26 45 46 63 
972	19 26 45 63 84 
973	20 21 22 65 66 
974	20 21 64 65 66 
975	23 24 25 26 38 
976	23 24 25 26 45 
977	23 24 25 26 63 
978	23 24 25 38 51 
979	23 24 25 38 80 
980	23 24 38 50 51 
981	23 24 38 51 80 
982	23 38 49 50 51 
983	23 38 50 51 80 
984	23 38 50 51 83 
985	24 25 26 38 45 
986	24 25 26 38 51 
987	24 25 26 38 63 
988	24 25 26 38 80 
989	24 25 26 45 46 
990	24 25 26 45 63 
991	24 25 26 63 84 
992	24 25 38 50 51 
993	24 25 38 51 80 
994	24 38 49 50 51 
995	24 38 50 51 80 
996	24 38 50 51 83 
997	25 26 45 46 47 
998	25 26 45 46 63 
999	25 26 45 63 84 
1000	26 45 46 47 63 
1001	26 45 46 63 84 
1002	27 28 29 54 55 
1003	27 28 53 54 55 
1004	27 52 53 54 55 
1005	33 34 35 36 37 
1006	33 34 35 36 70 
1007	33 34 35 69 70 
1008	33 34 68 69 70 
1009	34 35 36 37 70 
1010	34 35 36 69 70 
1011	34 35 68 69 70 
1012	34 67 68 69 70 
1013	35 36 37 69 70 
1014	35 36 68 69 70 
1015	35 67 68 69 70 
1016	38 49 50 51 73 
1017	38 49 50 51 80 
1018	38 49 50 51 83 
